0	1	2	3	4	5	6	7	8	9	10	11	12
0.114286	0.075472	0.061538	0.066038	0.134615	0.085106	0.083333	0.042857	0.058824	0.076923	0.054545	0.0625	0.0375
0.050847	0.126761	0.082353	0.0625	0.138889	0.088235	0.065421	0.103448	0.130952	0.048387	0.065789	0.072464	0.139785
0.1	0.087719	0.042254	0.063063	0.084746	0.098039	0.116279	0.04	0.054795	0.093023	0.05	0.076923	0.047619
0.072727	0.149254	0.126582	0.099174	0.144928	0.126984	0.11	0.094118	0.057471	0.068966	0.054054	0.126984	0.119565
0.115385	0.070423	0.060241	0.073171	0.068493	0.076923	0.089109	0.045455	0.045977	0.12963	0.132353	0.044776	0.096774
0.029851	0.048193	0.053191	0.059259	0.072289	0.065789	0.09009	0.072917	0.073684	0.058824	0.142857	0.094595	0.056075
0.043478	0.168831	0.051546	0.081481	0.121951	0.063291	0.068966	0.104167	0.09375	0.056338	0.05814	0.037037	0.126214
0.068493	0.090909	0.090909	0.101449	0.088889	0.125	0.111111	0.154639	0.09901	0.065789	0.102273	0.084337	0.089286
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.055556	0.086957	0.048193	0.056452	0.040541	0.029851	0.048077	0.096386	0.084337	0.052632	0.101449	0.061538	0.041237
